,Date,CPI,Unemployment_Rate,G10Yield,G5Yield,G3Yield,EURUSD,GBPUSD,USDCHF,USDJPY,SP500_Close
150,2012-07-01,228.59,8.2,1.53,0.62,0.33,1.2584,1.5679,0.9544,79.42,1406.58
151,2012-08-01,229.92,8.1,1.68,0.71,0.37,1.2299,1.5596,0.9767,78.19,1440.67
152,2012-09-01,231.02,7.8,1.72,0.67,0.34,1.2566,1.5889,0.9558,78.35,1412.16
153,2012-10-01,231.64,7.8,1.75,0.71,0.37,1.29,1.6142,0.9376,78.0,1416.18
154,2012-11-01,231.25,7.7,1.65,0.67,0.36,1.2937,1.6142,0.9326,80.14,1426.19
155,2012-12-01,231.22,7.9,1.72,0.7,0.35,1.3066,1.6104,0.925,82.24,1498.11
156,2013-01-01,231.68,8.0,1.91,0.81,0.39,1.3195,1.6255,0.9166,87.1,1514.68
157,2013-02-01,232.94,7.7,1.98,0.85,0.4,1.3692,1.5744,0.903,92.54,1569.19
158,2013-03-01,232.28,7.5,1.96,0.82,0.39,1.2988,1.5033,0.9448,93.38,1597.57
159,2013-04-01,231.8,7.6,1.76,0.71,0.34,1.2857,1.5232,0.946,93.3,1630.74
160,2013-05-01,231.89,7.5,1.93,0.84,0.4,1.3192,1.5578,0.9268,97.28,1606.28
161,2013-06-01,232.44,7.5,2.3,1.2,0.58,1.3098,1.5349,0.9442,99.18,1685.73
162,2013-07-01,232.9,7.3,2.58,1.4,0.64,1.306,1.5247,0.9452,99.62,1632.97
163,2013-08-01,233.46,7.2,2.74,1.52,0.7,1.3217,1.5145,0.9353,99.3,1681.55
164,2013-09-01,233.54,7.2,2.81,1.6,0.78,1.3164,1.5544,0.9363,99.43,1756.54
165,2013-10-01,233.67,7.2,2.62,1.37,0.63,1.3534,1.6208,0.9064,98.05,1805.81
166,2013-11-01,234.1,6.9,2.72,1.37,0.58,1.3488,1.5922,0.9124,98.78,1848.36
167,2013-12-01,234.72,6.7,2.9,1.58,0.69,1.3552,1.6365,0.9076,103.04,1782.59
168,2014-01-01,235.29,6.6,2.86,1.65,0.78,1.367,1.6441,0.8998,104.84,1859.45
169,2014-02-01,235.55,6.7,2.71,1.52,0.69,1.3523,1.6307,0.9014,101.11,1872.34
170,2014-03-01,236.03,6.7,2.72,1.64,0.82,1.3763,1.6712,0.881,101.36,1883.95
171,2014-04-01,236.47,6.2,2.71,1.7,0.88,1.3804,1.6639,0.8825,103.52,1923.57
172,2014-05-01,236.92,6.3,2.56,1.59,0.83,1.3867,1.69,0.8797,102.3,1960.23
173,2014-06-01,237.23,6.1,2.6,1.68,0.9,1.3606,1.6756,0.898,102.3,1930.67
174,2014-07-01,237.5,6.2,2.54,1.7,0.97,1.3681,1.7147,0.8871,101.51,2003.37
175,2014-08-01,237.46,6.1,2.42,1.63,0.93,1.3436,1.6832,0.9048,102.45,1972.29
176,2014-09-01,237.48,5.9,2.53,1.77,1.05,1.3124,1.6502,0.9196,105.1,2018.05
177,2014-10-01,237.43,5.7,2.3,1.55,0.88,1.2618,1.6216,0.9566,109.3,2067.56
178,2014-11-01,236.98,5.8,2.33,1.62,0.96,1.2487,1.5986,0.9655,113.92,2058.9
179,2014-12-01,236.25,5.6,2.21,1.64,1.06,1.249,1.5743,0.9631,118.14,1994.99
180,2015-01-01,234.75,5.7,1.88,1.37,0.9,1.2015,1.5361,1.0004,120.2,2104.5
181,2015-02-01,235.34,5.5,1.98,1.47,0.99,1.1337,1.5027,0.9262,117.33,2067.89
182,2015-03-01,235.98,5.4,2.04,1.52,1.02,1.119,1.5371,0.9553,120.06,2085.51
183,2015-04-01,236.22,5.4,1.94,1.35,0.87,1.0768,1.4823,0.9671,119.62,2107.39
184,2015-05-01,237.0,5.6,2.2,1.54,0.98,1.1194,1.5137,0.934,120.21,2063.11
185,2015-06-01,237.66,5.3,2.36,1.68,1.07,1.0913,1.5187,0.9467,124.64,2103.84
186,2015-07-01,238.03,5.2,2.32,1.63,1.03,1.1084,1.5617,0.9456,123.02,1972.18
187,2015-08-01,238.03,5.1,2.17,1.54,1.03,1.0962,1.5603,0.9682,123.98,1920.03
188,2015-09-01,237.5,5.0,2.17,1.49,1.01,1.1263,1.5341,0.9622,119.94,2079.36
189,2015-10-01,237.73,5.0,2.07,1.39,0.93,1.12,1.5162,0.9744,119.58,2080.41
190,2015-11-01,238.02,5.1,2.26,1.67,1.2,1.1026,1.5428,0.9853,120.7,2043.94
191,2015-12-01,237.76,5.0,2.24,1.7,1.28,1.062,1.5074,1.0296,122.88,1940.24
192,2016-01-01,237.65,4.8,2.09,1.52,1.14,1.0803,1.4686,1.0042,119.3,1932.23
193,2016-02-01,237.34,4.9,1.78,1.22,0.9,1.0888,1.4367,1.0202,121.06,2059.74
194,2016-03-01,238.08,5.0,1.89,1.38,1.04,1.0847,1.3948,0.9994,113.94,2065.3
195,2016-04-01,238.99,5.1,1.81,1.26,0.92,1.1385,1.4204,0.9588,112.06,2096.95
196,2016-05-01,239.56,4.8,1.81,1.3,0.97,1.1516,1.4666,0.9556,106.48,2098.86
197,2016-06-01,240.22,4.9,1.64,1.17,0.86,1.1165,1.4395,0.9892,109.55,2173.6
198,2016-07-01,240.1,4.8,1.5,1.07,0.79,1.1145,1.3281,0.973,102.55,2170.95
